Student_ID,Course_ID,Login_Frequency,Time_Spent_Modules,Participation_Forums,Quiz_Performance_Average,Assignment_Submissions,Resource_Access_Frequency,Session_Duration_Average,Device_Type,Internet_Bandwidth,Engagement_Level,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
S0001,C182,7,20.8,22,62.5,6,64,94.2,Mobile,31.7,Inactive,23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67
S0002,C115,4,26.8,8,62.2,5,47,89.9,Laptop,29,Inactive,19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61
S0003,C104,13,25.1,11,88.8,9,80,60.3,Mobile,5.5,Inactive,24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74
S0004,C195,11,9.7,0,96.8,8,72,41.8,Tablet,71.1,Inactive,29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71
S0005,C136,8,27.3,0,99.2,0,9,84.5,Tablet,9.6,Inactive,19,92,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,Neutral,4,No,College,Near,Female,70
S0006,C132,13,18.5,46,85.2,3,41,62.2,Laptop,55.6,Inactive,19,88,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71
S0007,C129,5,25.2,33,62.6,8,76,33.2,Laptop,96.4,Inactive,29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67
S0008,C118,7,27.4,31,45,3,96,110.1,Tablet,15.4,Inactive,25,78,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2,No,High School,Far,Male,66
S0009,C195,10,13,47,86.6,9,35,89.1,Tablet,90,Inactive,17,94,Medium,High,No,6,80,High,Yes,0,Medium,Low,Private,Neutral,1,No,College,Near,Male,69
S0010,C114,3,7.8,24,73.5,2,13,88.3,Laptop,99.2,Inactive,23,98,Medium,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,Positive,5,No,High School,Moderate,Male,72
S0011,C187,7,10.7,39,65.5,8,55,102.3,Laptop,10.8,Inactive,17,80,Low,High,No,8,88,Medium,No,4,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68
S0012,C195,11,15.7,44,94.4,1,33,73,Laptop,88.9,Inactive,17,97,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Male,71
S0013,C170,11,25.5,0,46.7,3,82,101.5,Mobile,54,Inactive,21,83,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70
S0014,C112,8,26.5,15,69.6,5,44,69.8,Laptop,91.1,Inactive,9,82,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
S0015,C176,5,5.2,38,40.7,1,45,26.7,Laptop,59.3,Inactive,10,78,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65
S0016,C155,4,17.8,4,68.1,7,90,60.5,Mobile,67.9,Inactive,17,68,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64
S0017,C105,8,15.4,21,43.4,7,15,69.7,Tablet,56.7,Inactive,14,60,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,Private,Positive,3,No,College,Near,Male,60
